YYYY-MM-DD,RISE,TRAN.,SET
2024/1/1,22:28,4:13,10:43
2024/1/2,23:17,4:53,11:14
2024/1/3,,5:32,11:43
2024/1/4,0:05,6:12,12:13
2024/1/5,0:55,6:52,12:44
2024/1/6,1:47,7:35,13:18
2024/1/7,2:42,8:21,13:56
2024/1/8,3:42,9:13,14:41
2024/1/9,4:44,10:10,15:33
2024/1/10,5:49,11:11,16:33
2024/1/11,6:52,12:15,17:40
2024/1/12,7:50,13:18,18:49
2024/1/13,8:42,14:17,19:58
2024/1/14,9:27,15:13,21:04
2024/1/15,10:08,16:04,22:06
2024/1/16,10:46,16:53,23:07
2024/1/17,11:22,17:41,
2024/1/18,11:58,18:29,0:06
2024/1/19,12:37,19:18,1:06
2024/1/20,13:18,20:10,2:06
2024/1/21,14:04,21:04,3:06
2024/1/22,14:54,21:59,4:07
2024/1/23,15:48,22:54,5:05
2024/1/24,16:45,23:48,5:59
2024/1/25,17:41,,6:48
2024/1/26,18:37,0:38,7:31
2024/1/27,19:30,1:25,8:09
2024/1/28,20:21,2:09,8:43
2024/1/29,21:11,2:50,9:14
2024/1/30,21:59,3:30,9:44
2024/1/31,22:48,4:09,10:13
2024/2/1,23:38,4:48,10:43
2024/2/2,,5:29,11:15
2024/2/3,0:31,6:12,11:50
2024/2/4,1:27,7:00,12:31
2024/2/5,2:26,7:53,13:18
2024/2/6,3:29,8:51,14:13
2024/2/7,4:31,9:53,15:15
2024/2/8,5:32,10:56,16:24
2024/2/9,6:27,11:58,17:34
2024/2/10,7:16,12:57,18:43
2024/2/11,8:00,13:52,19:49
2024/2/12,8:40,14:44,20:53
2024/2/13,9:18,15:34,21:55
2024/2/14,9:56,16:23,22:57
2024/2/15,10:35,17:14,23:58
2024/2/16,11:16,18:06,
2024/2/17,12:01,18:59,1:00
2024/2/18,12:50,19:55,2:01
2024/2/19,13:43,20:50,3:00
2024/2/20,14:39,21:43,3:56
2024/2/21,15:35,22:35,4:46
2024/2/22,16:31,23:22,5:30
2024/2/23,17:25,,6:09
2024/2/24,18:16,0:07,6:44
2024/2/25,19:06,0:49,7:16
2024/2/26,19:55,1:29,7:46
2024/2/27,20:44,2:08,8:15
2024/2/28,21:33,2:46,8:45
2024/2/29,22:24,3:26,9:15
2024/3/1,23:18,4:09,9:49
2024/3/2,,4:54,10:26
2024/3/3,0:15,5:44,11:10
2024/3/4,1:15,6:38,12:00
2024/3/5,2:16,7:36,12:57
2024/3/6,3:15,8:37,14:01
2024/3/7,4:11,9:38,15:08
2024/3/8,5:02,10:37,16:17
2024/3/9,5:49,11:34,17:25
2024/3/10,6:31,12:27,18:30
2024/3/11,7:10,13:19,19:35
2024/3/12,7:49,14:11,20:39
2024/3/13,8:28,15:02,21:43
2024/3/14,9:10,15:56,22:47
2024/3/15,9:55,16:51,23:51
2024/3/16,10:44,17:47,
2024/3/17,11:37,18:44,0:53
2024/3/18,12:33,19:39,1:51
2024/3/19,13:30,20:31,2:43
2024/3/20,14:26,21:20,3:29
2024/3/21,15:20,22:05,4:10
2024/3/22,16:12,22:48,4:46
2024/3/23,17:02,23:28,5:19
2024/3/24,17:51,,5:49
2024/3/25,18:40,0:07,6:18
2024/3/26,19:30,0:46,6:47
2024/3/27,20:20,1:26,7:18
